connections,concurrency,number of messages,size in bytes,Average Latency in us
32,1,1,2,33
32,1,1,4,14
32,1,1,8,11
32,1,1,16,6
32,1,1,32,5
32,1,1,64,6
32,1,1,128,16
32,1,1,256,12
32,1,1,512,6
32,1,1,1024,9
32,1,1,2048,27
32,1,1,4096,20
32,1,1,8192,30
32,1,1,16384,49
32,1,1,32768,92
32,1,1,65536,189
32,1,1,131072,781
32,1,1,262144,263012
32,1,1,524288,65607
32,1,1,1048576,25743
32,2,1,2,104
32,2,1,4,53
32,2,1,8,65
32,2,1,16,56
32,2,1,32,37
32,2,1,64,28
32,2,1,128,39
32,2,1,256,73
32,2,1,512,129
32,2,1,1024,94
32,2,1,2048,92
32,2,1,4096,34
32,2,1,8192,35
32,2,1,16384,49
32,2,1,32768,392
32,2,1,65536,161
32,2,1,131072,302
32,2,1,262144,50982
32,2,1,524288,33262
32,2,1,1048576,43480
32,4,1,2,93
32,4,1,4,54
32,4,1,8,71
32,4,1,16,40
32,4,1,32,40
32,4,1,64,30
32,4,1,128,43
32,4,1,256,57
32,4,1,512,29
32,4,1,1024,43
32,4,1,2048,167
32,4,1,4096,97
32,4,1,8192,330
32,4,1,16384,124
32,4,1,32768,312
32,4,1,65536,247
32,4,1,131072,376
32,4,1,262144,9241
32,4,1,524288,30994
32,4,1,1048576,50689
32,8,1,2,38
32,8,1,4,33
32,8,1,8,58
32,8,1,16,38
32,8,1,32,10
32,8,1,64,22
32,8,1,128,21
32,8,1,256,6
32,8,1,512,16
32,8,1,1024,40
32,8,1,2048,11
32,8,1,4096,14
32,8,1,8192,24
32,8,1,16384,22
32,8,1,32768,3285
32,8,1,65536,101
32,8,1,131072,2264
32,8,1,262144,2535
32,8,1,524288,3414
32,8,1,1048576,7866
32,16,1,2,38
32,16,1,4,33
32,16,1,8,26
32,16,1,16,29
32,16,1,32,62
32,16,1,64,38
32,16,1,128,27
32,16,1,256,25
32,16,1,512,31
32,16,1,1024,29
32,16,1,2048,23
32,16,1,4096,29
32,16,1,8192,22
32,16,1,16384,36
32,16,1,32768,91
32,16,1,65536,474
32,16,1,131072,1623
32,16,1,262144,1381
32,16,1,524288,3070
32,16,1,1048576,5598
32,32,1,2,27
32,32,1,4,38
32,32,1,8,27
32,32,1,16,31
32,32,1,32,35
32,32,1,64,25
32,32,1,128,15
32,32,1,256,20
32,32,1,512,22
32,32,1,1024,27
32,32,1,2048,30
32,32,1,4096,35
32,32,1,8192,50
32,32,1,16384,78
32,32,1,32768,142
32,32,1,65536,618
32,32,1,131072,657
32,32,1,262144,1184
32,32,1,524288,2258
32,32,1,1048576,5472
32,64,1,2,48
32,64,1,4,25
32,64,1,8,23
32,64,1,16,30
32,64,1,32,24
32,64,1,64,27
32,64,1,128,31
32,64,1,256,23
32,64,1,512,19
32,64,1,1024,26
32,64,1,2048,26
32,64,1,4096,37
32,64,1,8192,47
32,64,1,16384,54
32,64,1,32768,567
32,64,1,65536,290
32,64,1,131072,628
32,64,1,262144,1179
32,64,1,524288,2629
32,64,1,1048576,5264
32,128,1,2,7
32,128,1,4,5
32,128,1,8,4
32,128,1,16,4
32,128,1,32,4
32,128,1,64,5
32,128,1,128,5
32,128,1,256,5
32,128,1,512,9
32,128,1,1024,6
32,128,1,2048,8
32,128,1,4096,9
32,128,1,8192,15
32,128,1,16384,475
32,128,1,32768,207
32,128,1,65536,325
32,128,1,131072,613
32,128,1,262144,990
32,128,1,524288,2584
32,128,1,1048576,6199
32,256,1,2,30
32,256,1,4,21
32,256,1,8,28
32,256,1,16,24
32,256,1,32,28
32,256,1,64,26
32,256,1,128,22
32,256,1,256,26
32,256,1,512,14
32,256,1,1024,8
32,256,1,2048,23
32,256,1,4096,30
32,256,1,8192,903
32,256,1,16384,69
32,256,1,32768,518
32,256,1,65536,704
32,256,1,131072,668
32,256,1,262144,1282
32,256,1,524288,2770
32,256,1,1048576,4413
32,512,1,2,10
32,512,1,4,3
32,512,1,8,3
32,512,1,16,3
32,512,1,32,9
32,512,1,64,3
32,512,1,128,3
32,512,1,256,3
32,512,1,512,4
32,512,1,1024,5
32,512,1,2048,7
32,512,1,4096,143
32,512,1,8192,128
32,512,1,16384,126
32,512,1,32768,167
32,512,1,65536,312
32,512,1,131072,558
32,512,1,262144,1307
32,512,1,524288,2083
32,512,1,1048576,4384
32,1,2,2,15
32,1,2,4,8
32,1,2,8,15
32,1,2,16,12
32,1,2,32,8
32,1,2,64,7
32,1,2,128,8
32,1,2,256,18
32,1,2,512,14
32,1,2,1024,0
32,1,2,2048,3
32,1,2,4096,4
32,1,2,8192,12
32,1,2,16384,80
32,1,2,32768,91
32,1,2,65536,141
32,1,2,131072,1433
32,1,2,262144,1323
32,1,2,524288,5876
32,1,2,1048576,14656
32,2,2,2,63
32,2,2,4,107
32,2,2,8,32
32,2,2,16,33
32,2,2,32,12
32,2,2,64,36
32,2,2,128,30
32,2,2,256,25
32,2,2,512,19
32,2,2,1024,21
32,2,2,2048,31
32,2,2,4096,141
32,2,2,8192,45
32,2,2,16384,70
32,2,2,32768,86
32,2,2,65536,271
32,2,2,131072,742
32,2,2,262144,1854
32,2,2,524288,5840
32,2,2,1048576,6840
32,4,2,2,43
32,4,2,4,33
32,4,2,8,28
32,4,2,16,21
32,4,2,32,30
32,4,2,64,66
32,4,2,128,11
32,4,2,256,4
32,4,2,512,5
32,4,2,1024,12
32,4,2,2048,13
32,4,2,4096,20
32,4,2,8192,12
32,4,2,16384,24
32,4,2,32768,53
32,4,2,65536,1197
32,4,2,131072,1190
32,4,2,262144,1058
32,4,2,524288,2046
32,4,2,1048576,6369
32,8,2,2,61
32,8,2,4,68
32,8,2,8,56
32,8,2,16,52
32,8,2,32,23
32,8,2,64,28
32,8,2,128,26
32,8,2,256,24
32,8,2,512,21
32,8,2,1024,37
32,8,2,2048,38
32,8,2,4096,29
32,8,2,8192,62
32,8,2,16384,102
32,8,2,32768,119
32,8,2,65536,698
32,8,2,131072,1062
32,8,2,262144,2638
32,8,2,524288,3954
32,8,2,1048576,5133
32,16,2,2,58
32,16,2,4,26
32,16,2,8,23
32,16,2,16,30
32,16,2,32,21
32,16,2,64,22
32,16,2,128,31
32,16,2,256,22
32,16,2,512,22
32,16,2,1024,24
32,16,2,2048,44
32,16,2,4096,19
32,16,2,8192,25
32,16,2,16384,44
32,16,2,32768,589
32,16,2,65536,524
32,16,2,131072,486
32,16,2,262144,1062
32,16,2,524288,2683
32,16,2,1048576,4429
32,32,2,2,13
32,32,2,4,11
32,32,2,8,9
32,32,2,16,9
32,32,2,32,6
32,32,2,64,6
32,32,2,128,5
32,32,2,256,7
32,32,2,512,7
32,32,2,1024,9
32,32,2,2048,10
32,32,2,4096,15
32,32,2,8192,71
32,32,2,16384,60
32,32,2,32768,274
32,32,2,65536,247
32,32,2,131072,789
32,32,2,262144,794
32,32,2,524288,2171
32,32,2,1048576,3911
32,64,2,2,27
32,64,2,4,17
32,64,2,8,22
32,64,2,16,28
32,64,2,32,21
32,64,2,64,19
32,64,2,128,9
32,64,2,256,5
32,64,2,512,5
32,64,2,1024,6
32,64,2,2048,8
32,64,2,4096,12
32,64,2,8192,234
32,64,2,16384,45
32,64,2,32768,345
32,64,2,65536,269
32,64,2,131072,551
32,64,2,262144,1294
32,64,2,524288,1862
32,64,2,1048576,3600
32,128,2,2,25
32,128,2,4,28
32,128,2,8,7
32,128,2,16,5
32,128,2,32,16
32,128,2,64,4
32,128,2,128,3
32,128,2,256,4
32,128,2,512,18
32,128,2,1024,27
32,128,2,2048,17
32,128,2,4096,17
32,128,2,8192,408
32,128,2,16384,189
32,128,2,32768,161
32,128,2,65536,304
32,128,2,131072,1071
32,128,2,262144,939
32,128,2,524288,2004
32,128,2,1048576,4122
32,256,2,2,24
32,256,2,4,4
32,256,2,8,3
32,256,2,16,3
32,256,2,32,3
32,256,2,64,11
32,256,2,128,20
32,256,2,256,4
32,256,2,512,3
32,256,2,1024,5
32,256,2,2048,6
32,256,2,4096,367
32,256,2,8192,101
