connections,concurrency,number of messages,size in bytes,Average Latency in us
32,1,1,2,29
32,1,1,4,18
32,1,1,8,11
32,1,1,16,6
32,1,1,32,5
32,1,1,64,5
32,1,1,128,15
32,1,1,256,15
32,1,1,512,8
32,1,1,1024,9
32,1,1,2048,20
32,1,1,4096,26
32,1,1,8192,30
32,1,1,16384,50
32,1,1,32768,96
32,1,1,65536,206
32,1,1,131072,716
32,1,1,262144,102044
32,1,1,524288,54650
32,1,1,1048576,24713
32,2,1,2,139
32,2,1,4,52
32,2,1,8,57
32,2,1,16,73
32,2,1,32,123
32,2,1,64,70
32,2,1,128,40
32,2,1,256,20
32,2,1,512,45
32,2,1,1024,37
32,2,1,2048,34
32,2,1,4096,40
32,2,1,8192,47
32,2,1,16384,63
32,2,1,32768,92
32,2,1,65536,444
32,2,1,131072,292
32,2,1,262144,27802
32,2,1,524288,32390
32,2,1,1048576,47494
32,4,1,2,56
32,4,1,4,104
32,4,1,8,82
32,4,1,16,44
32,4,1,32,42
32,4,1,64,41
32,4,1,128,73
32,4,1,256,49
32,4,1,512,36
32,4,1,1024,32
32,4,1,2048,32
32,4,1,4096,49
32,4,1,8192,48
32,4,1,16384,74
32,4,1,32768,105
32,4,1,65536,244
32,4,1,131072,531
32,4,1,262144,20444
32,4,1,524288,47533
32,4,1,1048576,36057
32,8,1,2,35
32,8,1,4,26
32,8,1,8,21
32,8,1,16,19
32,8,1,32,23
32,8,1,64,31
32,8,1,128,21
32,8,1,256,12
32,8,1,512,10
32,8,1,1024,10
32,8,1,2048,20
32,8,1,4096,19
32,8,1,8192,27
32,8,1,16384,49
32,8,1,32768,104
32,8,1,65536,226
32,8,1,131072,9107
32,8,1,262144,3742
32,8,1,524288,2888
32,8,1,1048576,6210
32,16,1,2,19
32,16,1,4,8
32,16,1,8,9
32,16,1,16,8
32,16,1,32,7
32,16,1,64,7
32,16,1,128,9
32,16,1,256,8
32,16,1,512,9
32,16,1,1024,9
32,16,1,2048,12
32,16,1,4096,16
32,16,1,8192,29
32,16,1,16384,50
32,16,1,32768,1185
32,16,1,65536,171
32,16,1,131072,421
32,16,1,262144,1123
32,16,1,524288,2193
32,16,1,1048576,6653
32,32,1,2,37
32,32,1,4,38
32,32,1,8,32
32,32,1,16,22
32,32,1,32,16
32,32,1,64,21
32,32,1,128,23
32,32,1,256,23
32,32,1,512,23
32,32,1,1024,39
32,32,1,2048,43
32,32,1,4096,40
32,32,1,8192,37
32,32,1,16384,76
32,32,1,32768,115
32,32,1,65536,695
32,32,1,131072,464
32,32,1,262144,1060
32,32,1,524288,2272
32,32,1,1048576,5280
32,64,1,2,45
32,64,1,4,22
32,64,1,8,20
32,64,1,16,22
32,64,1,32,33
32,64,1,64,24
32,64,1,128,13
32,64,1,256,8
32,64,1,512,8
32,64,1,1024,15
32,64,1,2048,12
32,64,1,4096,24
32,64,1,8192,54
32,64,1,16384,62
32,64,1,32768,342
32,64,1,65536,405
32,64,1,131072,569
32,64,1,262144,1172
32,64,1,524288,2322
32,64,1,1048576,5263
32,128,1,2,29
32,128,1,4,25
32,128,1,8,23
32,128,1,16,23
32,128,1,32,7
32,128,1,64,3
32,128,1,128,4
32,128,1,256,5
32,128,1,512,4
32,128,1,1024,5
32,128,1,2048,7
32,128,1,4096,109
32,128,1,8192,18
32,128,1,16384,422
32,128,1,32768,256
32,128,1,65536,305
32,128,1,131072,656
32,128,1,262144,1159
32,128,1,524288,2429
32,128,1,1048576,5514
32,256,1,2,31
32,256,1,4,27
32,256,1,8,29
32,256,1,16,23
32,256,1,32,25
32,256,1,64,22
32,256,1,128,22
32,256,1,256,21
32,256,1,512,6
32,256,1,1024,6
32,256,1,2048,8
32,256,1,4096,12
32,256,1,8192,8091
32,256,1,16384,71
32,256,1,32768,3366
32,256,1,65536,2642
32,256,1,131072,1608
32,256,1,262144,1196
32,256,1,524288,2361
32,256,1,1048576,5023
32,512,1,2,6
32,512,1,4,3
32,512,1,8,3
32,512,1,16,3
32,512,1,32,3
32,512,1,64,3
32,512,1,128,3
32,512,1,256,4
32,512,1,512,4
32,512,1,1024,5
32,512,1,2048,7
32,512,1,4096,96
32,512,1,8192,97
32,512,1,16384,122
32,512,1,32768,384
32,512,1,65536,308
32,512,1,131072,583
32,512,1,262144,1561
32,512,1,524288,11728
32,512,1,1048576,5694
32,1,2,2,13
32,1,2,4,7
32,1,2,8,7
32,1,2,16,7
32,1,2,32,8
32,1,2,64,8
32,1,2,128,9
32,1,2,256,10
32,1,2,512,9
32,1,2,1024,10
32,1,2,2048,11
32,1,2,4096,53
32,1,2,8192,33
32,1,2,16384,86
32,1,2,32768,69
32,1,2,65536,138
32,1,2,131072,289
32,1,2,262144,2525
32,1,2,524288,4374
32,1,2,1048576,12535
32,2,2,2,50
32,2,2,4,6
32,2,2,8,24
32,2,2,16,8
32,2,2,32,12
32,2,2,64,16
32,2,2,128,33
32,2,2,256,22
32,2,2,512,78
32,2,2,1024,100
32,2,2,2048,46
32,2,2,4096,39
32,2,2,8192,61
32,2,2,16384,70
32,2,2,32768,132
32,2,2,65536,339
32,2,2,131072,1302
32,2,2,262144,1224
32,2,2,524288,6654
32,2,2,1048576,7073
32,4,2,2,39
32,4,2,4,38
32,4,2,8,64
32,4,2,16,22
32,4,2,32,25
32,4,2,64,19
32,4,2,128,26
32,4,2,256,18
32,4,2,512,17
32,4,2,1024,34
32,4,2,2048,39
32,4,2,4096,39
